Wiek;Ogółem;Wyższe;Policealne;Średnie;Zasadnicze zawodowe;Gimnazjalne;Podstawowe
37;168360;62622;7984;50068;27325;75;7207
38;161133;57696;7650;48134;27949;86;7204
39;154537;52700;7463;47978;28145;152;7242
40;148913;47819;7374;46949;28396;76;7809
41;142859;43799;6771;45994;28789;89;7713
42;140127;41804;6794;45583;29050;123;7832
43;138024;38851;6638;45993;29151;61;8365
44;140161;37776;7492;47381;29536;88;9076
45;141912;37210;7327;49079;30442;79;9081
46;146164;36565;7087;52917;32043;109;8897
47;150248;36478;7695;54810;33574;74;8840
48;154023;36620;8686;55592;34833;57;9641
49;162007;35487;10750;60551;35575;87;10946
50;170812;35512;12577;63881;38078;67;12199
51;188458;36944;13952;72375;41834;110;14500
52;198897;37677;15236;76324;44486;90;16656
53;209390;37546;16149;80497;46817;130;19231
54;207641;36999;15476;79768;45479;102;21641
55;212219;35604;14803;82892;46725;188;24026
56;210352;33848;12773;84251;46407;151;25395
57;207954;31413;12951;84037;46424;173;26004
58;202286;30060;11210;84541;43132;128;26534
59;204222;29976;10676;83743;46046;158;27933
60;193454;29266;11151;77544;41088;178;28888
61;185005;27389;9876;73953;38456;118;30132
62;176780;26058;9113;70551;35472;167;30704
63;168740;24671;9090;66666;32308;181;31548
64;155894;23514;8498;59482;29447;203;30880
65;115206;17596;6034;42102;19833;221;26841
66;102928;14640;4981;37326;16690;156;26634
67;105132;14908;4640;35757;16390;217;30745
68;96699;13504;4058;31788;12962;92;32092
69;101351;13611;4076;33534;11526;286;35972
70;102498;12932;3770;34804;10712;311;37515
71;108077;13905;3604;37169;11562;317;39004
72;104192;12004;3298;36816;10722;316;38719
73;101975;11375;2928;36113;10532;406;38280
74;102067;10537;2565;37263;9767;475;39225
75;99585;10290;2008;35816;9552;479;39006
76;93123;8541;1692;32545;8898;519;38660
77;88816;7863;1481;30569;7976;590;38050
78;85599;7143;1312;27095;7383;680;39732
79;83747;6364;1254;25115;6646;878;41252
80;81621;5996;1032;23240;5574;967;42410
81;72772;4806;923;18358;5020;697;40589
82;65123;4318;653;15660;4520;749;37233
83;57140;3491;645;12227;3694;572;34545
84;51864;3176;403;10918;3004;710;31538
85 lat i więcej;233831;10995;2059;44718;10604;3695;149092
Wieś;12512745;1277878;192992;3087644;3419476;773379;3205062
15 lat;202544;0;0;0;0;7077;190711
16;210238;0;0;0;0;140776;64248
17;220445;0;0;0;1295;199965;13672
18;228817;0;0;12595;9361;193045;8837
19;233033;0;501;72606;32171;114226;7710
20;235029;369;1122;139360;39972;40102;7111
21;230610;1705;3319;154674;36860;18060;7258
22;230856;26164;4982;131112;35536;14648;7384
23;236292;41995;6517;117980;35762;12462;7919
24;237854;56971;7468;102353;36659;10658;7885
25;246453;64558;6669;94880;43668;5387;12167
26;250490;67696;6567;87941;48708;2149;16001
27;254867;67805;6402;85591;53591;1046;17350
